,chi1,chi2,knee,trial,err_chi1,err_chi2,err_knee
143,0.0,0.25,40.0,3.0,8.518591304529726e-30,0.4123431026510014,50.641817745779065
144,0.0,0.25,40.0,4.0,6.258000305959964e-15,-0.2499999999999572,13.11036647123322
145,0.0,0.25,40.0,5.0,4.3494269260447444e-34,0.1772519473135537,57.551769383594376
146,0.0,0.25,40.0,6.0,2.968667729304134e-16,-0.24999999999999664,16.68174984440674
147,0.0,0.25,40.0,7.0,3.061173981030273e-15,-0.24999999999994763,10.789563403332536
148,0.0,0.25,40.0,8.0,1.5532648023680977e-26,0.28585567094127984,51.099293303411486
149,0.0,0.25,40.0,9.0,1.3024986720251744e-15,-0.24999999999999736,11.906858737965237
150,0.0,0.25,50.0,0.0,4.051209529720094e-18,-0.24999999999999944,15.501171838140948
151,0.0,0.25,50.0,1.0,0.026231462074154853,-0.24999971124076534,11.477131664622043
152,0.0,0.25,50.0,2.0,1.5118669891575766e-14,-0.2499999999955029,12.41604042357072
153,0.0,0.25,50.0,3.0,2.1394652244827457e-11,-0.2499999997977341,9.69423337338258
154,0.0,0.25,50.0,4.0,2.8829434541797164e-28,-0.25,23.44444406886457
155,0.0,0.25,50.0,5.0,0.014576345900030607,-0.249996357644055,11.311888215943974
156,0.0,0.25,50.0,6.0,2.3087233446701177e-18,-0.25,4.490644191139182
157,0.0,0.25,50.0,7.0,0.011417284502630711,-0.2499922988992518,10.924263270114075
158,0.0,0.25,50.0,8.0,8.878683472854131e-19,-0.2499999999999999,16.850916166755894
159,0.0,0.25,50.0,9.0,0.0725035745145256,-0.24999707245280062,-0.1476025662168965
160,0.0,0.25,60.0,0.0,6.833834577390601e-30,0.4729919916049876,69.60355504181655
161,0.0,0.25,60.0,1.0,5.023463520729054e-16,-0.2499999999999691,13.275779415249218
162,0.0,0.25,60.0,2.0,1.1636930437009389e-12,-0.2499999998224004,10.8721015403178
163,0.0,0.25,60.0,3.0,5.3975169621077707e-14,-0.24999999999765102,17.774009389162856
164,0.0,0.25,60.0,4.0,1.3489271374564877e-15,-0.24999999999999534,5.874803152468971
165,0.0,0.25,60.0,5.0,4.42915262815569e-18,-0.24999999999999897,25.277714324016245
166,0.0,0.25,60.0,6.0,2.1622683551339042e-19,-0.25,12.341042317622026
167,0.0,0.25,60.0,7.0,0.03453036593197203,-0.2499999993810841,12.447283895255055
168,0.0,0.25,60.0,8.0,2.335752322527329e-14,-0.24999999999345388,15.558871293161346
169,0.0,0.25,60.0,9.0,1.8657508682524145e-32,0.19565965496054805,78.91835604917424
170,0.0,0.25,70.0,0.0,9.722354353242978e-19,-0.25,0.4976569881088295
171,0.0,0.25,70.0,1.0,8.643680254842508e-18,-0.24999999999999986,-6.879984775704202
172,0.0,0.25,70.0,2.0,0.033611099543382976,-0.249908986060203,10.601751074543714
173,0.0,0.25,70.0,3.0,0.04311406688247988,-0.24995731917923567,8.65614054403109
174,0.0,0.25,70.0,4.0,1.5007327405725088e-25,0.4664280066817419,81.82399270470844
175,0.0,0.25,70.0,5.0,9.088850719534907e-17,-0.24999999999981315,7.4272293112856715
176,0.0,0.25,70.0,6.0,7.354588096359396e-36,0.19531215980879607,103.34355151338511
177,0.0,0.25,70.0,7.0,1.8528425518081456e-18,-0.24999999999999997,6.390497426374964
178,0.0,0.25,70.0,8.0,6.469626589242014e-15,-0.24999999999938063,10.442149287595655
179,0.0,0.25,70.0,9.0,1.8111936962728244e-28,-0.25,38.05864733534192
180,0.0,0.25,80.0,0.0,1.1930141310984266e-16,-0.24999999999995848,-1.5701238145475003
181,0.0,0.25,80.0,1.0,0.035063122137256965,0.5735214736395671,36.70611692531155
182,0.0,0.25,80.0,2.0,8.732500625458834e-34,0.09135031022206036,91.1076636027934
183,0.0,0.25,80.0,3.0,0.06521340520117573,-0.24995990147680308,-14.325850587821463
184,0.0,0.25,80.0,4.0,2.1391036445744542e-17,-0.24999999999999958,-9.458358246778403
185,0.0,0.25,80.0,5.0,1.4531364108252286e-15,-0.2499999999996365,-4.075427242100133
186,0.0,0.25,80.0,6.0,2.6246228402755333e-18,-0.2499999999999982,-0.3470606905391662
187,0.0,0.25,80.0,7.0,6.180733085761467e-18,-0.24999999999993197,0.9825612717967971
188,0.0,0.25,80.0,8.0,5.511397246419587e-19,-0.25,-4.46678732842409
189,0.0,0.25,80.0,9.0,1.0637114636668099e-16,-0.24999999999974767,-3.744373465579798
190,0.0,0.25,90.0,0.0,4.078214565946652e-12,0.12997406266136574,-80.61314344900406
191,0.0,0.25,90.0,1.0,0.023239512378786395,-0.249998419737658,-55.096597986768444
192,0.0,0.25,90.0,2.0,0.068726293521664,-0.24998594408082273,-20.984200477698394
193,0.0,0.25,90.0,3.0,0.05027868383722453,-0.24996634995765094,6.353775106966751
194,0.0,0.25,90.0,4.0,0.019980049513695777,-0.24996884399239735,-12.030269364093499
195,0.0,0.25,90.0,5.0,1.0252412728473772e-32,0.3875199373723833,98.09576127646662
196,0.0,0.25,90.0,6.0,5.533848241114648e-14,-0.24999999999038802,-11.80298782612519
197,0.0,0.25,90.0,7.0,2.0164622119456592e-29,0.7790777513285836,89.34817394519544
198,0.0,0.25,90.0,8.0,0.024274710785659587,-0.2499996796784588,-13.226357098420806
199,0.0,0.25,90.0,9.0,9.068815453607824e-22,0.7171789512066578,100.22024591335062
200,0.0,0.5,0.0,0.0,0.5024516437788861,-0.4999999458956748,0.6252117237285439
201,0.0,0.5,0.0,1.0,0.4535793648135983,-0.4998978065063868,1.7520480787118677
202,0.0,0.5,0.0,2.0,0.4520542463523581,-0.4999998715158512,1.6925354583255359
203,0.0,0.5,0.0,3.0,0.17836722234788546,0.007791409205551769,1.5848535759799816
204,0.0,0.5,0.0,4.0,0.46562940448379275,-0.4999710890549516,1.3972662021019067
205,0.0,0.5,0.0,5.0,2.048381872751619e-14,0.16479927684322027,0.657437687745931
206,0.0,0.5,0.0,6.0,0.507126708037874,-0.4999994333205268,0.7720814947597532
207,0.0,0.5,0.0,7.0,0.535538084940749,-0.4999930419429482,0.619105171293977
208,0.0,0.5,0.0,8.0,0.3311618154804131,-0.24263113823065774,1.6062779614825786
209,0.0,0.5,0.0,9.0,0.46085832594304676,-0.49993455471097303,0.8353684506425608
210,0.0,0.5,10.0,0.0,0.16051055593785407,-0.4999996690273644,10.829323165906136
211,0.0,0.5,10.0,1.0,0.13700708259630165,-0.1331366824012969,7.685405079975013
